group,grammatical,sentence,a condition,b condition
0,False,It is these cakes that Susan lifted the box that hauled carefully,+,+
0,False,It is obvious that Susan lifted the box that hauled carefully,-,+
0,False,It is these cakes that Susan lifted the box that hauled your jacket carefully,+,-
0,True,It is obvious that Susan lifted the box that hauled your jacket carefully,-,-
1,False,It is these cakes that Susan lifted the box that hauled without falling,+,+
1,False,It is obvious that Susan lifted the box that hauled without falling,-,+
1,False,It is these cakes that Susan lifted the box that hauled your jacket without falling,+,-
1,True,It is obvious that Susan lifted the box that hauled your jacket without falling,-,-
2,False,It is these cakes that Susan lifted the box that hauled quickly,+,+
2,False,It is obvious that Susan lifted the box that hauled quickly,-,+
2,False,It is these cakes that Susan lifted the box that hauled your jacket quickly,+,-
2,True,It is obvious that Susan lifted the box that hauled your jacket quickly,-,-
3,False,It is these cakes that Susan lifted the box that hauled carefully,+,+
3,False,It is obvious that Susan lifted the box that hauled carefully,-,+
3,False,It is these cakes that Susan lifted the box that hauled a phone carefully,+,-
3,True,It is obvious that Susan lifted the box that hauled a phone carefully,-,-
4,False,It is these cakes that Susan lifted the box that hauled without falling,+,+
4,False,It is obvious that Susan lifted the box that hauled without falling,-,+
4,False,It is these cakes that Susan lifted the box that hauled a phone without falling,+,-
4,True,It is obvious that Susan lifted the box that hauled a phone without falling,-,-
5,False,It is these cakes that Susan lifted the box that hauled quickly,+,+
5,False,It is obvious that Susan lifted the box that hauled quickly,-,+
5,False,It is these cakes that Susan lifted the box that hauled a phone quickly,+,-
5,True,It is obvious that Susan lifted the box that hauled a phone quickly,-,-
6,False,It is these cakes that Susan lifted the box that hauled carefully,+,+
6,False,It is obvious that Susan lifted the box that hauled carefully,-,+
6,False,It is these cakes that Susan lifted the box that hauled the paperwork carefully,+,-
6,True,It is obvious that Susan lifted the box that hauled the paperwork carefully,-,-
7,False,It is these cakes that Susan lifted the box that hauled without falling,+,+
7,False,It is obvious that Susan lifted the box that hauled without falling,-,+
7,False,It is these cakes that Susan lifted the box that hauled the paperwork without falling,+,-
7,True,It is obvious that Susan lifted the box that hauled the paperwork without falling,-,-
8,False,It is these cakes that Susan lifted the box that hauled quickly,+,+
8,False,It is obvious that Susan lifted the box that hauled quickly,-,+
8,False,It is these cakes that Susan lifted the box that hauled the paperwork quickly,+,-
8,True,It is obvious that Susan lifted the box that hauled the paperwork quickly,-,-
9,False,It is these cakes that Susan lifted the box that had carefully,+,+
9,False,It is obvious that Susan lifted the box that had carefully,-,+
9,False,It is these cakes that Susan lifted the box that had your jacket carefully,+,-
9,True,It is obvious that Susan lifted the box that had your jacket carefully,-,-
10,False,It is these cakes that Susan lifted the box that had without falling,+,+
10,False,It is obvious that Susan lifted the box that had without falling,-,+
10,False,It is these cakes that Susan lifted the box that had your jacket without falling,+,-
10,True,It is obvious that Susan lifted the box that had your jacket without falling,-,-
11,False,It is these cakes that Susan lifted the box that had quickly,+,+
11,False,It is obvious that Susan lifted the box that had quickly,-,+
11,False,It is these cakes that Susan lifted the box that had your jacket quickly,+,-
11,True,It is obvious that Susan lifted the box that had your jacket quickly,-,-
12,False,It is these cakes that Susan lifted the box that had carefully,+,+
12,False,It is obvious that Susan lifted the box that had carefully,-,+
12,False,It is these cakes that Susan lifted the box that had a phone carefully,+,-
12,True,It is obvious that Susan lifted the box that had a phone carefully,-,-
13,False,It is these cakes that Susan lifted the box that had without falling,+,+
13,False,It is obvious that Susan lifted the box that had without falling,-,+
13,False,It is these cakes that Susan lifted the box that had a phone without falling,+,-
13,True,It is obvious that Susan lifted the box that had a phone without falling,-,-
14,False,It is these cakes that Susan lifted the box that had quickly,+,+
14,False,It is obvious that Susan lifted the box that had quickly,-,+
14,False,It is these cakes that Susan lifted the box that had a phone quickly,+,-
14,True,It is obvious that Susan lifted the box that had a phone quickly,-,-
15,False,It is these cakes that Susan lifted the box that had carefully,+,+
15,False,It is obvious that Susan lifted the box that had carefully,-,+
15,False,It is these cakes that Susan lifted the box that had the paperwork carefully,+,-
15,True,It is obvious that Susan lifted the box that had the paperwork carefully,-,-
16,False,It is these cakes that Susan lifted the box that had without falling,+,+
16,False,It is obvious that Susan lifted the box that had without falling,-,+
16,False,It is these cakes that Susan lifted the box that had the paperwork without falling,+,-
16,True,It is obvious that Susan lifted the box that had the paperwork without falling,-,-
17,False,It is these cakes that Susan lifted the box that had quickly,+,+
17,False,It is obvious that Susan lifted the box that had quickly,-,+
17,False,It is these cakes that Susan lifted the box that had the paperwork quickly,+,-
17,True,It is obvious that Susan lifted the box that had the paperwork quickly,-,-
18,False,It is these cakes that Susan lifted the box that transported carefully,+,+
18,False,It is obvious that Susan lifted the box that transported carefully,-,+
18,False,It is these cakes that Susan lifted the box that transported your jacket carefully,+,-
18,True,It is obvious that Susan lifted the box that transported your jacket carefully,-,-
19,False,It is these cakes that Susan lifted the box that transported without falling,+,+
19,False,It is obvious that Susan lifted the box that transported without falling,-,+
19,False,It is these cakes that Susan lifted the box that transported your jacket without falling,+,-
19,True,It is obvious that Susan lifted the box that transported your jacket without falling,-,-
20,False,It is these cakes that Susan lifted the box that transported quickly,+,+
20,False,It is obvious that Susan lifted the box that transported quickly,-,+
20,False,It is these cakes that Susan lifted the box that transported your jacket quickly,+,-
20,True,It is obvious that Susan lifted the box that transported your jacket quickly,-,-
21,False,It is these cakes that Susan lifted the box that transported carefully,+,+
21,False,It is obvious that Susan lifted the box that transported carefully,-,+
21,False,It is these cakes that Susan lifted the box that transported a phone carefully,+,-
21,True,It is obvious that Susan lifted the box that transported a phone carefully,-,-
22,False,It is these cakes that Susan lifted the box that transported without falling,+,+
22,False,It is obvious that Susan lifted the box that transported without falling,-,+
22,False,It is these cakes that Susan lifted the box that transported a phone without falling,+,-
22,True,It is obvious that Susan lifted the box that transported a phone without falling,-,-
23,False,It is these cakes that Susan lifted the box that transported quickly,+,+
23,False,It is obvious that Susan lifted the box that transported quickly,-,+
23,False,It is these cakes that Susan lifted the box that transported a phone quickly,+,-
23,True,It is obvious that Susan lifted the box that transported a phone quickly,-,-
24,False,It is these cakes that Susan lifted the box that transported carefully,+,+
24,False,It is obvious that Susan lifted the box that transported carefully,-,+
24,False,It is these cakes that Susan lifted the box that transported the paperwork carefully,+,-
24,True,It is obvious that Susan lifted the box that transported the paperwork carefully,-,-
25,False,It is these cakes that Susan lifted the box that transported without falling,+,+
25,False,It is obvious that Susan lifted the box that transported without falling,-,+
25,False,It is these cakes that Susan lifted the box that transported the paperwork without falling,+,-
25,True,It is obvious that Susan lifted the box that transported the paperwork without falling,-,-
26,False,It is these cakes that Susan lifted the box that transported quickly,+,+
26,False,It is obvious that Susan lifted the box that transported quickly,-,+
26,False,It is these cakes that Susan lifted the box that transported the paperwork quickly,+,-
26,True,It is obvious that Susan lifted the box that transported the paperwork quickly,-,-
27,False,It is these cakes that Susan lifted this truck that hauled carefully,+,+
27,False,It is obvious that Susan lifted this truck that hauled carefully,-,+
27,False,It is these cakes that Susan lifted this truck that hauled your jacket carefully,+,-
27,True,It is obvious that Susan lifted this truck that hauled your jacket carefully,-,-
28,False,It is these cakes that Susan lifted this truck that hauled without falling,+,+
28,False,It is obvious that Susan lifted this truck that hauled without falling,-,+
28,False,It is these cakes that Susan lifted this truck that hauled your jacket without falling,+,-
28,True,It is obvious that Susan lifted this truck that hauled your jacket without falling,-,-
29,False,It is these cakes that Susan lifted this truck that hauled quickly,+,+
29,False,It is obvious that Susan lifted this truck that hauled quickly,-,+
29,False,It is these cakes that Susan lifted this truck that hauled your jacket quickly,+,-
29,True,It is obvious that Susan lifted this truck that hauled your jacket quickly,-,-
30,False,It is these cakes that Susan lifted this truck that hauled carefully,+,+
30,False,It is obvious that Susan lifted this truck that hauled carefully,-,+
30,False,It is these cakes that Susan lifted this truck that hauled a phone carefully,+,-
30,True,It is obvious that Susan lifted this truck that hauled a phone carefully,-,-
31,False,It is these cakes that Susan lifted this truck that hauled without falling,+,+
31,False,It is obvious that Susan lifted this truck that hauled without falling,-,+
31,False,It is these cakes that Susan lifted this truck that hauled a phone without falling,+,-
31,True,It is obvious that Susan lifted this truck that hauled a phone without falling,-,-
32,False,It is these cakes that Susan lifted this truck that hauled quickly,+,+
32,False,It is obvious that Susan lifted this truck that hauled quickly,-,+
32,False,It is these cakes that Susan lifted this truck that hauled a phone quickly,+,-
32,True,It is obvious that Susan lifted this truck that hauled a phone quickly,-,-
33,False,It is these cakes that Susan lifted this truck that hauled carefully,+,+
33,False,It is obvious that Susan lifted this truck that hauled carefully,-,+
33,False,It is these cakes that Susan lifted this truck that hauled the paperwork carefully,+,-
33,True,It is obvious that Susan lifted this truck that hauled the paperwork carefully,-,-
34,False,It is these cakes that Susan lifted this truck that hauled without falling,+,+
34,False,It is obvious that Susan lifted this truck that hauled without falling,-,+
34,False,It is these cakes that Susan lifted this truck that hauled the paperwork without falling,+,-
34,True,It is obvious that Susan lifted this truck that hauled the paperwork without falling,-,-
35,False,It is these cakes that Susan lifted this truck that hauled quickly,+,+
35,False,It is obvious that Susan lifted this truck that hauled quickly,-,+
35,False,It is these cakes that Susan lifted this truck that hauled the paperwork quickly,+,-
