group,grammatical,sentence,a condition,b condition
0,True,It is these cakes that Susan lifted carefully,+,+
0,False,It is obvious that Susan lifted carefully,-,+
0,False,It is these cakes that Susan lifted your jacket carefully,+,-
0,True,It is obvious that Susan lifted your jacket carefully,-,-
1,True,It is these cakes that Susan lifted without falling,+,+
1,False,It is obvious that Susan lifted without falling,-,+
1,False,It is these cakes that Susan lifted your jacket without falling,+,-
1,True,It is obvious that Susan lifted your jacket without falling,-,-
2,True,It is these cakes that Susan lifted quickly,+,+
2,False,It is obvious that Susan lifted quickly,-,+
2,False,It is these cakes that Susan lifted your jacket quickly,+,-
2,True,It is obvious that Susan lifted your jacket quickly,-,-
3,True,It is these cakes that Susan lifted carefully,+,+
3,False,It is obvious that Susan lifted carefully,-,+
3,False,It is these cakes that Susan lifted a phone carefully,+,-
3,True,It is obvious that Susan lifted a phone carefully,-,-
4,True,It is these cakes that Susan lifted without falling,+,+
4,False,It is obvious that Susan lifted without falling,-,+
4,False,It is these cakes that Susan lifted a phone without falling,+,-
4,True,It is obvious that Susan lifted a phone without falling,-,-
5,True,It is these cakes that Susan lifted quickly,+,+
5,False,It is obvious that Susan lifted quickly,-,+
5,False,It is these cakes that Susan lifted a phone quickly,+,-
5,True,It is obvious that Susan lifted a phone quickly,-,-
6,True,It is these cakes that Susan lifted carefully,+,+
6,False,It is obvious that Susan lifted carefully,-,+
6,False,It is these cakes that Susan lifted the paperwork carefully,+,-
6,True,It is obvious that Susan lifted the paperwork carefully,-,-
7,True,It is these cakes that Susan lifted without falling,+,+
7,False,It is obvious that Susan lifted without falling,-,+
7,False,It is these cakes that Susan lifted the paperwork without falling,+,-
7,True,It is obvious that Susan lifted the paperwork without falling,-,-
8,True,It is these cakes that Susan lifted quickly,+,+
8,False,It is obvious that Susan lifted quickly,-,+
8,False,It is these cakes that Susan lifted the paperwork quickly,+,-
8,True,It is obvious that Susan lifted the paperwork quickly,-,-
9,True,It is these cakes that Susan stole carefully,+,+
9,False,It is obvious that Susan stole carefully,-,+
9,False,It is these cakes that Susan stole your jacket carefully,+,-
9,True,It is obvious that Susan stole your jacket carefully,-,-
10,True,It is these cakes that Susan stole without falling,+,+
10,False,It is obvious that Susan stole without falling,-,+
10,False,It is these cakes that Susan stole your jacket without falling,+,-
10,True,It is obvious that Susan stole your jacket without falling,-,-
11,True,It is these cakes that Susan stole quickly,+,+
11,False,It is obvious that Susan stole quickly,-,+
11,False,It is these cakes that Susan stole your jacket quickly,+,-
11,True,It is obvious that Susan stole your jacket quickly,-,-
12,True,It is these cakes that Susan stole carefully,+,+
12,False,It is obvious that Susan stole carefully,-,+
12,False,It is these cakes that Susan stole a phone carefully,+,-
12,True,It is obvious that Susan stole a phone carefully,-,-
13,True,It is these cakes that Susan stole without falling,+,+
13,False,It is obvious that Susan stole without falling,-,+
13,False,It is these cakes that Susan stole a phone without falling,+,-
13,True,It is obvious that Susan stole a phone without falling,-,-
14,True,It is these cakes that Susan stole quickly,+,+
14,False,It is obvious that Susan stole quickly,-,+
14,False,It is these cakes that Susan stole a phone quickly,+,-
14,True,It is obvious that Susan stole a phone quickly,-,-
15,True,It is these cakes that Susan stole carefully,+,+
15,False,It is obvious that Susan stole carefully,-,+
15,False,It is these cakes that Susan stole the paperwork carefully,+,-
15,True,It is obvious that Susan stole the paperwork carefully,-,-
16,True,It is these cakes that Susan stole without falling,+,+
16,False,It is obvious that Susan stole without falling,-,+
16,False,It is these cakes that Susan stole the paperwork without falling,+,-
16,True,It is obvious that Susan stole the paperwork without falling,-,-
17,True,It is these cakes that Susan stole quickly,+,+
17,False,It is obvious that Susan stole quickly,-,+
17,False,It is these cakes that Susan stole the paperwork quickly,+,-
17,True,It is obvious that Susan stole the paperwork quickly,-,-
18,True,It is these cakes that Susan threw carefully,+,+
18,False,It is obvious that Susan threw carefully,-,+
18,False,It is these cakes that Susan threw your jacket carefully,+,-
18,True,It is obvious that Susan threw your jacket carefully,-,-
19,True,It is these cakes that Susan threw without falling,+,+
19,False,It is obvious that Susan threw without falling,-,+
19,False,It is these cakes that Susan threw your jacket without falling,+,-
19,True,It is obvious that Susan threw your jacket without falling,-,-
20,True,It is these cakes that Susan threw quickly,+,+
20,False,It is obvious that Susan threw quickly,-,+
20,False,It is these cakes that Susan threw your jacket quickly,+,-
20,True,It is obvious that Susan threw your jacket quickly,-,-
21,True,It is these cakes that Susan threw carefully,+,+
21,False,It is obvious that Susan threw carefully,-,+
21,False,It is these cakes that Susan threw a phone carefully,+,-
21,True,It is obvious that Susan threw a phone carefully,-,-
22,True,It is these cakes that Susan threw without falling,+,+
22,False,It is obvious that Susan threw without falling,-,+
22,False,It is these cakes that Susan threw a phone without falling,+,-
22,True,It is obvious that Susan threw a phone without falling,-,-
23,True,It is these cakes that Susan threw quickly,+,+
23,False,It is obvious that Susan threw quickly,-,+
23,False,It is these cakes that Susan threw a phone quickly,+,-
23,True,It is obvious that Susan threw a phone quickly,-,-
24,True,It is these cakes that Susan threw carefully,+,+
24,False,It is obvious that Susan threw carefully,-,+
24,False,It is these cakes that Susan threw the paperwork carefully,+,-
24,True,It is obvious that Susan threw the paperwork carefully,-,-
25,True,It is these cakes that Susan threw without falling,+,+
25,False,It is obvious that Susan threw without falling,-,+
25,False,It is these cakes that Susan threw the paperwork without falling,+,-
25,True,It is obvious that Susan threw the paperwork without falling,-,-
26,True,It is these cakes that Susan threw quickly,+,+
26,False,It is obvious that Susan threw quickly,-,+
26,False,It is these cakes that Susan threw the paperwork quickly,+,-
26,True,It is obvious that Susan threw the paperwork quickly,-,-
27,True,It is these cakes that Michelle lifted carefully,+,+
27,False,It is obvious that Michelle lifted carefully,-,+
27,False,It is these cakes that Michelle lifted your jacket carefully,+,-
27,True,It is obvious that Michelle lifted your jacket carefully,-,-
28,True,It is these cakes that Michelle lifted without falling,+,+
28,False,It is obvious that Michelle lifted without falling,-,+
28,False,It is these cakes that Michelle lifted your jacket without falling,+,-
28,True,It is obvious that Michelle lifted your jacket without falling,-,-
29,True,It is these cakes that Michelle lifted quickly,+,+
29,False,It is obvious that Michelle lifted quickly,-,+
29,False,It is these cakes that Michelle lifted your jacket quickly,+,-
29,True,It is obvious that Michelle lifted your jacket quickly,-,-
30,True,It is these cakes that Michelle lifted carefully,+,+
30,False,It is obvious that Michelle lifted carefully,-,+
30,False,It is these cakes that Michelle lifted a phone carefully,+,-
30,True,It is obvious that Michelle lifted a phone carefully,-,-
31,True,It is these cakes that Michelle lifted without falling,+,+
31,False,It is obvious that Michelle lifted without falling,-,+
31,False,It is these cakes that Michelle lifted a phone without falling,+,-
31,True,It is obvious that Michelle lifted a phone without falling,-,-
32,True,It is these cakes that Michelle lifted quickly,+,+
32,False,It is obvious that Michelle lifted quickly,-,+
32,False,It is these cakes that Michelle lifted a phone quickly,+,-
32,True,It is obvious that Michelle lifted a phone quickly,-,-
33,True,It is these cakes that Michelle lifted carefully,+,+
33,False,It is obvious that Michelle lifted carefully,-,+
33,False,It is these cakes that Michelle lifted the paperwork carefully,+,-
33,True,It is obvious that Michelle lifted the paperwork carefully,-,-
34,True,It is these cakes that Michelle lifted without falling,+,+
34,False,It is obvious that Michelle lifted without falling,-,+
34,False,It is these cakes that Michelle lifted the paperwork without falling,+,-
34,True,It is obvious that Michelle lifted the paperwork without falling,-,-
35,True,It is these cakes that Michelle lifted quickly,+,+
35,False,It is obvious that Michelle lifted quickly,-,+
35,False,It is these cakes that Michelle lifted the paperwork quickly,+,-
35,True,It is obvious that Michelle lifted the paperwork quickly,-,-
36,True,It is these cakes that Michelle stole carefully,+,+
36,False,It is obvious that Michelle stole carefully,-,+
36,False,It is these cakes that Michelle stole your jacket carefully,+,-
36,True,It is obvious that Michelle stole your jacket carefully,-,-
37,True,It is these cakes that Michelle stole without falling,+,+
37,False,It is obvious that Michelle stole without falling,-,+
37,False,It is these cakes that Michelle stole your jacket without falling,+,-
37,True,It is obvious that Michelle stole your jacket without falling,-,-
38,True,It is these cakes that Michelle stole quickly,+,+
38,False,It is obvious that Michelle stole quickly,-,+
38,False,It is these cakes that Michelle stole your jacket quickly,+,-
38,True,It is obvious that Michelle stole your jacket quickly,-,-
39,True,It is these cakes that Michelle stole carefully,+,+
39,False,It is obvious that Michelle stole carefully,-,+
39,False,It is these cakes that Michelle stole a phone carefully,+,-
39,True,It is obvious that Michelle stole a phone carefully,-,-
40,True,It is these cakes that Michelle stole without falling,+,+
40,False,It is obvious that Michelle stole without falling,-,+
40,False,It is these cakes that Michelle stole a phone without falling,+,-
40,True,It is obvious that Michelle stole a phone without falling,-,-
41,True,It is these cakes that Michelle stole quickly,+,+
41,False,It is obvious that Michelle stole quickly,-,+
41,False,It is these cakes that Michelle stole a phone quickly,+,-
41,True,It is obvious that Michelle stole a phone quickly,-,-
42,True,It is these cakes that Michelle stole carefully,+,+
42,False,It is obvious that Michelle stole carefully,-,+
42,False,It is these cakes that Michelle stole the paperwork carefully,+,-
42,True,It is obvious that Michelle stole the paperwork carefully,-,-
43,True,It is these cakes that Michelle stole without falling,+,+
43,False,It is obvious that Michelle stole without falling,-,+
43,False,It is these cakes that Michelle stole the paperwork without falling,+,-
43,True,It is obvious that Michelle stole the paperwork without falling,-,-
44,True,It is these cakes that Michelle stole quickly,+,+
44,False,It is obvious that Michelle stole quickly,-,+
44,False,It is these cakes that Michelle stole the paperwork quickly,+,-
44,True,It is obvious that Michelle stole the paperwork quickly,-,-
45,True,It is these cakes that Michelle threw carefully,+,+
45,False,It is obvious that Michelle threw carefully,-,+
45,False,It is these cakes that Michelle threw your jacket carefully,+,-
45,True,It is obvious that Michelle threw your jacket carefully,-,-
46,True,It is these cakes that Michelle threw without falling,+,+
46,False,It is obvious that Michelle threw without falling,-,+
46,False,It is these cakes that Michelle threw your jacket without falling,+,-
46,True,It is obvious that Michelle threw your jacket without falling,-,-
47,True,It is these cakes that Michelle threw quickly,+,+
47,False,It is obvious that Michelle threw quickly,-,+
47,False,It is these cakes that Michelle threw your jacket quickly,+,-
47,True,It is obvious that Michelle threw your jacket quickly,-,-
48,True,It is these cakes that Michelle threw carefully,+,+
48,False,It is obvious that Michelle threw carefully,-,+
48,False,It is these cakes that Michelle threw a phone carefully,+,-
48,True,It is obvious that Michelle threw a phone carefully,-,-
49,True,It is these cakes that Michelle threw without falling,+,+
49,False,It is obvious that Michelle threw without falling,-,+
49,False,It is these cakes that Michelle threw a phone without falling,+,-
49,True,It is obvious that Michelle threw a phone without falling,-,-
50,True,It is these cakes that Michelle threw quickly,+,+
50,False,It is obvious that Michelle threw quickly,-,+
50,False,It is these cakes that Michelle threw a phone quickly,+,-
50,True,It is obvious that Michelle threw a phone quickly,-,-
51,True,It is these cakes that Michelle threw carefully,+,+
51,False,It is obvious that Michelle threw carefully,-,+
51,False,It is these cakes that Michelle threw the paperwork carefully,+,-
