group,grammatical,sentence,a condition,b condition
0,True,"these cakes, Susan lifted carefully",+,+
0,False,Susan lifted carefully,-,+
0,False,"these cakes, Susan lifted your jacket carefully",+,-
0,True,Susan lifted your jacket carefully,-,-
1,True,"these cakes, Susan lifted without falling",+,+
1,False,Susan lifted without falling,-,+
1,False,"these cakes, Susan lifted your jacket without falling",+,-
1,True,Susan lifted your jacket without falling,-,-
2,True,"these cakes, Susan lifted quickly",+,+
2,False,Susan lifted quickly,-,+
2,False,"these cakes, Susan lifted your jacket quickly",+,-
2,True,Susan lifted your jacket quickly,-,-
3,True,"these cakes, Susan lifted carefully",+,+
3,False,Susan lifted carefully,-,+
3,False,"these cakes, Susan lifted a phone carefully",+,-
3,True,Susan lifted a phone carefully,-,-
4,True,"these cakes, Susan lifted without falling",+,+
4,False,Susan lifted without falling,-,+
4,False,"these cakes, Susan lifted a phone without falling",+,-
4,True,Susan lifted a phone without falling,-,-
5,True,"these cakes, Susan lifted quickly",+,+
5,False,Susan lifted quickly,-,+
5,False,"these cakes, Susan lifted a phone quickly",+,-
5,True,Susan lifted a phone quickly,-,-
6,True,"these cakes, Susan lifted carefully",+,+
6,False,Susan lifted carefully,-,+
6,False,"these cakes, Susan lifted the paperwork carefully",+,-
6,True,Susan lifted the paperwork carefully,-,-
7,True,"these cakes, Susan lifted without falling",+,+
7,False,Susan lifted without falling,-,+
7,False,"these cakes, Susan lifted the paperwork without falling",+,-
7,True,Susan lifted the paperwork without falling,-,-
8,True,"these cakes, Susan lifted quickly",+,+
8,False,Susan lifted quickly,-,+
8,False,"these cakes, Susan lifted the paperwork quickly",+,-
8,True,Susan lifted the paperwork quickly,-,-
9,True,"these cakes, Susan stole carefully",+,+
9,False,Susan stole carefully,-,+
9,False,"these cakes, Susan stole your jacket carefully",+,-
9,True,Susan stole your jacket carefully,-,-
10,True,"these cakes, Susan stole without falling",+,+
10,False,Susan stole without falling,-,+
10,False,"these cakes, Susan stole your jacket without falling",+,-
10,True,Susan stole your jacket without falling,-,-
11,True,"these cakes, Susan stole quickly",+,+
11,False,Susan stole quickly,-,+
11,False,"these cakes, Susan stole your jacket quickly",+,-
11,True,Susan stole your jacket quickly,-,-
12,True,"these cakes, Susan stole carefully",+,+
12,False,Susan stole carefully,-,+
12,False,"these cakes, Susan stole a phone carefully",+,-
12,True,Susan stole a phone carefully,-,-
13,True,"these cakes, Susan stole without falling",+,+
13,False,Susan stole without falling,-,+
13,False,"these cakes, Susan stole a phone without falling",+,-
13,True,Susan stole a phone without falling,-,-
14,True,"these cakes, Susan stole quickly",+,+
14,False,Susan stole quickly,-,+
14,False,"these cakes, Susan stole a phone quickly",+,-
14,True,Susan stole a phone quickly,-,-
15,True,"these cakes, Susan stole carefully",+,+
15,False,Susan stole carefully,-,+
15,False,"these cakes, Susan stole the paperwork carefully",+,-
15,True,Susan stole the paperwork carefully,-,-
16,True,"these cakes, Susan stole without falling",+,+
16,False,Susan stole without falling,-,+
16,False,"these cakes, Susan stole the paperwork without falling",+,-
16,True,Susan stole the paperwork without falling,-,-
17,True,"these cakes, Susan stole quickly",+,+
17,False,Susan stole quickly,-,+
17,False,"these cakes, Susan stole the paperwork quickly",+,-
17,True,Susan stole the paperwork quickly,-,-
18,True,"these cakes, Susan threw carefully",+,+
18,False,Susan threw carefully,-,+
18,False,"these cakes, Susan threw your jacket carefully",+,-
18,True,Susan threw your jacket carefully,-,-
19,True,"these cakes, Susan threw without falling",+,+
19,False,Susan threw without falling,-,+
19,False,"these cakes, Susan threw your jacket without falling",+,-
19,True,Susan threw your jacket without falling,-,-
20,True,"these cakes, Susan threw quickly",+,+
20,False,Susan threw quickly,-,+
20,False,"these cakes, Susan threw your jacket quickly",+,-
20,True,Susan threw your jacket quickly,-,-
21,True,"these cakes, Susan threw carefully",+,+
21,False,Susan threw carefully,-,+
21,False,"these cakes, Susan threw a phone carefully",+,-
21,True,Susan threw a phone carefully,-,-
22,True,"these cakes, Susan threw without falling",+,+
22,False,Susan threw without falling,-,+
22,False,"these cakes, Susan threw a phone without falling",+,-
22,True,Susan threw a phone without falling,-,-
23,True,"these cakes, Susan threw quickly",+,+
23,False,Susan threw quickly,-,+
23,False,"these cakes, Susan threw a phone quickly",+,-
23,True,Susan threw a phone quickly,-,-
24,True,"these cakes, Susan threw carefully",+,+
24,False,Susan threw carefully,-,+
24,False,"these cakes, Susan threw the paperwork carefully",+,-
24,True,Susan threw the paperwork carefully,-,-
25,True,"these cakes, Susan threw without falling",+,+
25,False,Susan threw without falling,-,+
25,False,"these cakes, Susan threw the paperwork without falling",+,-
25,True,Susan threw the paperwork without falling,-,-
26,True,"these cakes, Susan threw quickly",+,+
26,False,Susan threw quickly,-,+
26,False,"these cakes, Susan threw the paperwork quickly",+,-
26,True,Susan threw the paperwork quickly,-,-
27,True,"these cakes, Michelle lifted carefully",+,+
27,False,Michelle lifted carefully,-,+
27,False,"these cakes, Michelle lifted your jacket carefully",+,-
27,True,Michelle lifted your jacket carefully,-,-
28,True,"these cakes, Michelle lifted without falling",+,+
