group,grammatical,sentence,a condition,b condition
0,False,"these cakes, Susan lifted the box that hauled carefully",+,+
0,False,"indeed, Susan lifted the box that hauled carefully",-,+
0,False,"these cakes, Susan lifted the box that hauled your jacket carefully",+,-
0,True,"indeed, Susan lifted the box that hauled your jacket carefully",-,-
1,False,"these cakes, Susan lifted the box that hauled without falling",+,+
1,False,"indeed, Susan lifted the box that hauled without falling",-,+
1,False,"these cakes, Susan lifted the box that hauled your jacket without falling",+,-
1,True,"indeed, Susan lifted the box that hauled your jacket without falling",-,-
2,False,"these cakes, Susan lifted the box that hauled quickly",+,+
2,False,"indeed, Susan lifted the box that hauled quickly",-,+
2,False,"these cakes, Susan lifted the box that hauled your jacket quickly",+,-
2,True,"indeed, Susan lifted the box that hauled your jacket quickly",-,-
3,False,"these cakes, Susan lifted the box that hauled carefully",+,+
3,False,"indeed, Susan lifted the box that hauled carefully",-,+
3,False,"these cakes, Susan lifted the box that hauled a phone carefully",+,-
3,True,"indeed, Susan lifted the box that hauled a phone carefully",-,-
4,False,"these cakes, Susan lifted the box that hauled without falling",+,+
4,False,"indeed, Susan lifted the box that hauled without falling",-,+
4,False,"these cakes, Susan lifted the box that hauled a phone without falling",+,-
4,True,"indeed, Susan lifted the box that hauled a phone without falling",-,-
5,False,"these cakes, Susan lifted the box that hauled quickly",+,+
5,False,"indeed, Susan lifted the box that hauled quickly",-,+
5,False,"these cakes, Susan lifted the box that hauled a phone quickly",+,-
5,True,"indeed, Susan lifted the box that hauled a phone quickly",-,-
6,False,"these cakes, Susan lifted the box that hauled carefully",+,+
6,False,"indeed, Susan lifted the box that hauled carefully",-,+
6,False,"these cakes, Susan lifted the box that hauled the paperwork carefully",+,-
6,True,"indeed, Susan lifted the box that hauled the paperwork carefully",-,-
7,False,"these cakes, Susan lifted the box that hauled without falling",+,+
7,False,"indeed, Susan lifted the box that hauled without falling",-,+
7,False,"these cakes, Susan lifted the box that hauled the paperwork without falling",+,-
7,True,"indeed, Susan lifted the box that hauled the paperwork without falling",-,-
8,False,"these cakes, Susan lifted the box that hauled quickly",+,+
8,False,"indeed, Susan lifted the box that hauled quickly",-,+
8,False,"these cakes, Susan lifted the box that hauled the paperwork quickly",+,-
8,True,"indeed, Susan lifted the box that hauled the paperwork quickly",-,-
9,False,"these cakes, Susan lifted the box that had carefully",+,+
9,False,"indeed, Susan lifted the box that had carefully",-,+
9,False,"these cakes, Susan lifted the box that had your jacket carefully",+,-
9,True,"indeed, Susan lifted the box that had your jacket carefully",-,-
10,False,"these cakes, Susan lifted the box that had without falling",+,+
10,False,"indeed, Susan lifted the box that had without falling",-,+
10,False,"these cakes, Susan lifted the box that had your jacket without falling",+,-
10,True,"indeed, Susan lifted the box that had your jacket without falling",-,-
11,False,"these cakes, Susan lifted the box that had quickly",+,+
11,False,"indeed, Susan lifted the box that had quickly",-,+
11,False,"these cakes, Susan lifted the box that had your jacket quickly",+,-
11,True,"indeed, Susan lifted the box that had your jacket quickly",-,-
12,False,"these cakes, Susan lifted the box that had carefully",+,+
12,False,"indeed, Susan lifted the box that had carefully",-,+
12,False,"these cakes, Susan lifted the box that had a phone carefully",+,-
12,True,"indeed, Susan lifted the box that had a phone carefully",-,-
13,False,"these cakes, Susan lifted the box that had without falling",+,+
13,False,"indeed, Susan lifted the box that had without falling",-,+
13,False,"these cakes, Susan lifted the box that had a phone without falling",+,-
13,True,"indeed, Susan lifted the box that had a phone without falling",-,-
14,False,"these cakes, Susan lifted the box that had quickly",+,+
14,False,"indeed, Susan lifted the box that had quickly",-,+
14,False,"these cakes, Susan lifted the box that had a phone quickly",+,-
14,True,"indeed, Susan lifted the box that had a phone quickly",-,-
15,False,"these cakes, Susan lifted the box that had carefully",+,+
15,False,"indeed, Susan lifted the box that had carefully",-,+
15,False,"these cakes, Susan lifted the box that had the paperwork carefully",+,-
15,True,"indeed, Susan lifted the box that had the paperwork carefully",-,-
16,False,"these cakes, Susan lifted the box that had without falling",+,+
16,False,"indeed, Susan lifted the box that had without falling",-,+
16,False,"these cakes, Susan lifted the box that had the paperwork without falling",+,-
16,True,"indeed, Susan lifted the box that had the paperwork without falling",-,-
17,False,"these cakes, Susan lifted the box that had quickly",+,+
17,False,"indeed, Susan lifted the box that had quickly",-,+
17,False,"these cakes, Susan lifted the box that had the paperwork quickly",+,-
17,True,"indeed, Susan lifted the box that had the paperwork quickly",-,-
18,False,"these cakes, Susan lifted the box that transported carefully",+,+
18,False,"indeed, Susan lifted the box that transported carefully",-,+
18,False,"these cakes, Susan lifted the box that transported your jacket carefully",+,-
18,True,"indeed, Susan lifted the box that transported your jacket carefully",-,-
19,False,"these cakes, Susan lifted the box that transported without falling",+,+
19,False,"indeed, Susan lifted the box that transported without falling",-,+
19,False,"these cakes, Susan lifted the box that transported your jacket without falling",+,-
19,True,"indeed, Susan lifted the box that transported your jacket without falling",-,-
