Type,Sentence,Grammatical,Set,Critical String,Region Start,Region End
<S_FG>,I know who Michael saw and helped today,True,Test,today,34,39
<S_XG>,I know that Michael saw Christopher and helped today,False,Test,today,47,52
<S_FX>,I know who Michael saw and helped Matthew today,False,Test,Matthew,34,41
<S_XX>,I know that Michael saw Christopher and helped Matthew today,True,Test,Matthew,47,54
<S_FG>,I know who Michael saw and helped yesterday,True,Test,yesterday,34,43
<S_XG>,I know that Michael saw Christopher and helped yesterday,False,Test,yesterday,47,56
<S_FX>,I know who Michael saw and helped Matthew yesterday,False,Test,Matthew,34,41
<S_XX>,I know that Michael saw Christopher and helped Matthew yesterday,True,Test,Matthew,47,54
<S_FG>,I know who Michael saw and helped recently,True,Test,recently,34,42
<S_XG>,I know that Michael saw Christopher and helped recently,False,Test,recently,47,55
<S_FX>,I know who Michael saw and helped Matthew recently,False,Test,Matthew,34,41
<S_XX>,I know that Michael saw Christopher and helped Matthew recently,True,Test,Matthew,47,54
<S_FG>,I know who Michael saw and helped lately,True,No Set,lately,34,40
<S_XG>,I know that Michael saw Christopher and helped lately,False,No Set,lately,47,53
<S_FX>,I know who Michael saw and helped Matthew lately,False,No Set,Matthew,34,41
<S_XX>,I know that Michael saw Christopher and helped Matthew lately,True,No Set,Matthew,47,54
<S_FG>,I know who Michael saw and played with today,True,Test,today,39,44
<S_XG>,I know that Michael saw Christopher and played with today,False,Test,today,52,57
<S_FX>,I know who Michael saw and played with Matthew today,False,Test,Matthew,39,46
<S_XX>,I know that Michael saw Christopher and played with Matthew today,True,Test,Matthew,52,59
<S_FG>,I know who Michael saw and played with yesterday,True,Test,yesterday,39,48
<S_XG>,I know that Michael saw Christopher and played with yesterday,False,Test,yesterday,52,61
<S_FX>,I know who Michael saw and played with Matthew yesterday,False,Test,Matthew,39,46
<S_XX>,I know that Michael saw Christopher and played with Matthew yesterday,True,Test,Matthew,52,59
<S_FG>,I know who Michael saw and played with recently,True,Test,recently,39,47
<S_XG>,I know that Michael saw Christopher and played with recently,False,Test,recently,52,60
<S_FX>,I know who Michael saw and played with Matthew recently,False,Test,Matthew,39,46
<S_XX>,I know that Michael saw Christopher and played with Matthew recently,True,Test,Matthew,52,59
<S_FG>,I know who Michael saw and played with lately,True,No Set,lately,39,45
<S_XG>,I know that Michael saw Christopher and played with lately,False,No Set,lately,52,58
<S_FX>,I know who Michael saw and played with Matthew lately,False,No Set,Matthew,39,46
<S_XX>,I know that Michael saw Christopher and played with Matthew lately,True,No Set,Matthew,52,59
<S_FG>,I know who Michael saw and started to like today,True,Test,today,43,48
<S_XG>,I know that Michael saw Christopher and started to like today,False,Test,today,56,61
<S_FX>,I know who Michael saw and started to like Matthew today,False,Test,Matthew,43,50
<S_XX>,I know that Michael saw Christopher and started to like Matthew today,True,Test,Matthew,56,63
<S_FG>,I know who Michael saw and started to like yesterday,True,Test,yesterday,43,52
<S_XG>,I know that Michael saw Christopher and started to like yesterday,False,Test,yesterday,56,65
<S_FX>,I know who Michael saw and started to like Matthew yesterday,False,Test,Matthew,43,50
<S_XX>,I know that Michael saw Christopher and started to like Matthew yesterday,True,Test,Matthew,56,63
<S_FG>,I know who Michael saw and started to like recently,True,Test,recently,43,51
<S_XG>,I know that Michael saw Christopher and started to like recently,False,Test,recently,56,64
<S_FX>,I know who Michael saw and started to like Matthew recently,False,Test,Matthew,43,50
<S_XX>,I know that Michael saw Christopher and started to like Matthew recently,True,Test,Matthew,56,63
