group,grammatical,sentence,a condition,b condition
0,True,the pizza is tough to steal carefully,+,+
0,False,it is tough to steal carefully,-,+
0,False,the pizza is tough to steal your jacket carefully,+,-
0,True,it is tough to steal your jacket carefully,-,-
1,True,the pizza is tough to steal without falling,+,+
1,False,it is tough to steal without falling,-,+
1,False,the pizza is tough to steal your jacket without falling,+,-
1,True,it is tough to steal your jacket without falling,-,-
2,True,the pizza is tough to steal quickly,+,+
2,False,it is tough to steal quickly,-,+
2,False,the pizza is tough to steal your jacket quickly,+,-
2,True,it is tough to steal your jacket quickly,-,-
3,True,the pizza is tough to steal carefully,+,+
3,False,it is tough to steal carefully,-,+
3,False,the pizza is tough to steal a phone carefully,+,-
3,True,it is tough to steal a phone carefully,-,-
4,True,the pizza is tough to steal without falling,+,+
4,False,it is tough to steal without falling,-,+
4,False,the pizza is tough to steal a phone without falling,+,-
4,True,it is tough to steal a phone without falling,-,-
5,True,the pizza is tough to steal quickly,+,+
5,False,it is tough to steal quickly,-,+
5,False,the pizza is tough to steal a phone quickly,+,-
5,True,it is tough to steal a phone quickly,-,-
6,True,the pizza is tough to steal carefully,+,+
6,False,it is tough to steal carefully,-,+
6,False,the pizza is tough to steal the paperwork carefully,+,-
6,True,it is tough to steal the paperwork carefully,-,-
7,True,the pizza is tough to steal without falling,+,+
7,False,it is tough to steal without falling,-,+
7,False,the pizza is tough to steal the paperwork without falling,+,-
7,True,it is tough to steal the paperwork without falling,-,-
8,True,the pizza is tough to steal quickly,+,+
8,False,it is tough to steal quickly,-,+
8,False,the pizza is tough to steal the paperwork quickly,+,-
8,True,it is tough to steal the paperwork quickly,-,-
9,True,the pizza is tough to throw carefully,+,+
9,False,it is tough to throw carefully,-,+
9,False,the pizza is tough to throw your jacket carefully,+,-
9,True,it is tough to throw your jacket carefully,-,-
10,True,the pizza is tough to throw without falling,+,+
10,False,it is tough to throw without falling,-,+
10,False,the pizza is tough to throw your jacket without falling,+,-
