Type,Sentence,Grammatical,Critical String,Region Start,Region End
<S_FG>,I know who Michael talked to last year and argued with today,True,today,55,60
<S_XG>,I know that Michael talked to Christopher last year and argued with today,False,today,68,73
<S_FX>,I know who Michael talked to last year and argued with Matthew today,False,Matthew,55,62
<S_XX>,I know that Michael talked to Christopher last year and argued with Matthew today,True,Matthew,68,75
<S_FG>,I know who Michael talked to last year and argued with recently,True,recently,55,63
<S_XG>,I know that Michael talked to Christopher last year and argued with recently,False,recently,68,76
<S_FX>,I know who Michael talked to last year and argued with Matthew recently,False,Matthew,55,62
<S_XX>,I know that Michael talked to Christopher last year and argued with Matthew recently,True,Matthew,68,75
<S_FG>,I know who Michael talked to last year and argued with lately,True,lately,55,61
<S_XG>,I know that Michael talked to Christopher last year and argued with lately,False,lately,68,74
<S_FX>,I know who Michael talked to last year and argued with Matthew lately,False,Matthew,55,62
<S_XX>,I know that Michael talked to Christopher last year and argued with Matthew lately,True,Matthew,68,75
<S_FG>,I know who Michael talked to last year and had a fight with today,True,today,60,65
<S_XG>,I know that Michael talked to Christopher last year and had a fight with today,False,today,73,78
<S_FX>,I know who Michael talked to last year and had a fight with Matthew today,False,Matthew,60,67
<S_XX>,I know that Michael talked to Christopher last year and had a fight with Matthew today,True,Matthew,73,80
<S_FG>,I know who Michael talked to last year and had a fight with recently,True,recently,60,68
<S_XG>,I know that Michael talked to Christopher last year and had a fight with recently,False,recently,73,81
<S_FX>,I know who Michael talked to last year and had a fight with Matthew recently,False,Matthew,60,67
<S_XX>,I know that Michael talked to Christopher last year and had a fight with Matthew recently,True,Matthew,73,80
<S_FG>,I know who Michael talked to last year and had a fight with lately,True,lately,60,66
<S_XG>,I know that Michael talked to Christopher last year and had a fight with lately,False,lately,73,79
<S_FX>,I know who Michael talked to last year and had a fight with Matthew lately,False,Matthew,60,67
<S_XX>,I know that Michael talked to Christopher last year and had a fight with Matthew lately,True,Matthew,73,80
<S_FG>,I know who Michael talked to last year and made peace with today,True,today,59,64
<S_XG>,I know that Michael talked to Christopher last year and made peace with today,False,today,72,77
<S_FX>,I know who Michael talked to last year and made peace with Matthew today,False,Matthew,59,66
<S_XX>,I know that Michael talked to Christopher last year and made peace with Matthew today,True,Matthew,72,79
<S_FG>,I know who Michael talked to last year and made peace with recently,True,recently,59,67
<S_XG>,I know that Michael talked to Christopher last year and made peace with recently,False,recently,72,80
<S_FX>,I know who Michael talked to last year and made peace with Matthew recently,False,Matthew,59,66
<S_XX>,I know that Michael talked to Christopher last year and made peace with Matthew recently,True,Matthew,72,79
<S_FG>,I know who Michael talked to last year and made peace with lately,True,lately,59,65
<S_XG>,I know that Michael talked to Christopher last year and made peace with lately,False,lately,72,78
<S_FX>,I know who Michael talked to last year and made peace with Matthew lately,False,Matthew,59,66
<S_XX>,I know that Michael talked to Christopher last year and made peace with Matthew lately,True,Matthew,72,79
<S_FG>,I know who Michael talked to last year and stopped talking to today,True,today,62,67
<S_XG>,I know that Michael talked to Christopher last year and stopped talking to today,False,today,75,80
<S_FX>,I know who Michael talked to last year and stopped talking to Matthew today,False,Matthew,62,69
