group,grammatical,sentence,a condition,b condition
0,False,"these cakes, Susan lifted the box that hauled carefully",+,+
0,False,Susan lifted the box that hauled carefully,-,+
0,False,"these cakes, Susan lifted the box that hauled your jacket carefully",+,-
0,True,Susan lifted the box that hauled your jacket carefully,-,-
1,False,"these cakes, Susan lifted the box that hauled without falling",+,+
1,False,Susan lifted the box that hauled without falling,-,+
1,False,"these cakes, Susan lifted the box that hauled your jacket without falling",+,-
1,True,Susan lifted the box that hauled your jacket without falling,-,-
2,False,"these cakes, Susan lifted the box that hauled quickly",+,+
2,False,Susan lifted the box that hauled quickly,-,+
2,False,"these cakes, Susan lifted the box that hauled your jacket quickly",+,-
2,True,Susan lifted the box that hauled your jacket quickly,-,-
3,False,"these cakes, Susan lifted the box that hauled carefully",+,+
3,False,Susan lifted the box that hauled carefully,-,+
3,False,"these cakes, Susan lifted the box that hauled a phone carefully",+,-
3,True,Susan lifted the box that hauled a phone carefully,-,-
4,False,"these cakes, Susan lifted the box that hauled without falling",+,+
4,False,Susan lifted the box that hauled without falling,-,+
4,False,"these cakes, Susan lifted the box that hauled a phone without falling",+,-
4,True,Susan lifted the box that hauled a phone without falling,-,-
5,False,"these cakes, Susan lifted the box that hauled quickly",+,+
5,False,Susan lifted the box that hauled quickly,-,+
5,False,"these cakes, Susan lifted the box that hauled a phone quickly",+,-
5,True,Susan lifted the box that hauled a phone quickly,-,-
6,False,"these cakes, Susan lifted the box that hauled carefully",+,+
6,False,Susan lifted the box that hauled carefully,-,+
6,False,"these cakes, Susan lifted the box that hauled the paperwork carefully",+,-
6,True,Susan lifted the box that hauled the paperwork carefully,-,-
7,False,"these cakes, Susan lifted the box that hauled without falling",+,+
7,False,Susan lifted the box that hauled without falling,-,+
7,False,"these cakes, Susan lifted the box that hauled the paperwork without falling",+,-
7,True,Susan lifted the box that hauled the paperwork without falling,-,-
8,False,"these cakes, Susan lifted the box that hauled quickly",+,+
8,False,Susan lifted the box that hauled quickly,-,+
8,False,"these cakes, Susan lifted the box that hauled the paperwork quickly",+,-
8,True,Susan lifted the box that hauled the paperwork quickly,-,-
9,False,"these cakes, Susan lifted the box that had carefully",+,+
9,False,Susan lifted the box that had carefully,-,+
9,False,"these cakes, Susan lifted the box that had your jacket carefully",+,-
9,True,Susan lifted the box that had your jacket carefully,-,-
10,False,"these cakes, Susan lifted the box that had without falling",+,+
10,False,Susan lifted the box that had without falling,-,+
10,False,"these cakes, Susan lifted the box that had your jacket without falling",+,-
10,True,Susan lifted the box that had your jacket without falling,-,-
11,False,"these cakes, Susan lifted the box that had quickly",+,+
11,False,Susan lifted the box that had quickly,-,+
11,False,"these cakes, Susan lifted the box that had your jacket quickly",+,-
11,True,Susan lifted the box that had your jacket quickly,-,-
12,False,"these cakes, Susan lifted the box that had carefully",+,+
12,False,Susan lifted the box that had carefully,-,+
12,False,"these cakes, Susan lifted the box that had a phone carefully",+,-
12,True,Susan lifted the box that had a phone carefully,-,-
13,False,"these cakes, Susan lifted the box that had without falling",+,+
13,False,Susan lifted the box that had without falling,-,+
13,False,"these cakes, Susan lifted the box that had a phone without falling",+,-
13,True,Susan lifted the box that had a phone without falling,-,-
14,False,"these cakes, Susan lifted the box that had quickly",+,+
14,False,Susan lifted the box that had quickly,-,+
14,False,"these cakes, Susan lifted the box that had a phone quickly",+,-
14,True,Susan lifted the box that had a phone quickly,-,-
15,False,"these cakes, Susan lifted the box that had carefully",+,+
15,False,Susan lifted the box that had carefully,-,+
15,False,"these cakes, Susan lifted the box that had the paperwork carefully",+,-
15,True,Susan lifted the box that had the paperwork carefully,-,-
16,False,"these cakes, Susan lifted the box that had without falling",+,+
16,False,Susan lifted the box that had without falling,-,+
16,False,"these cakes, Susan lifted the box that had the paperwork without falling",+,-
16,True,Susan lifted the box that had the paperwork without falling,-,-
17,False,"these cakes, Susan lifted the box that had quickly",+,+
17,False,Susan lifted the box that had quickly,-,+
17,False,"these cakes, Susan lifted the box that had the paperwork quickly",+,-
17,True,Susan lifted the box that had the paperwork quickly,-,-
18,False,"these cakes, Susan lifted the box that transported carefully",+,+
18,False,Susan lifted the box that transported carefully,-,+
18,False,"these cakes, Susan lifted the box that transported your jacket carefully",+,-
18,True,Susan lifted the box that transported your jacket carefully,-,-
19,False,"these cakes, Susan lifted the box that transported without falling",+,+
19,False,Susan lifted the box that transported without falling,-,+
19,False,"these cakes, Susan lifted the box that transported your jacket without falling",+,-
19,True,Susan lifted the box that transported your jacket without falling,-,-
20,False,"these cakes, Susan lifted the box that transported quickly",+,+
20,False,Susan lifted the box that transported quickly,-,+
20,False,"these cakes, Susan lifted the box that transported your jacket quickly",+,-
20,True,Susan lifted the box that transported your jacket quickly,-,-
21,False,"these cakes, Susan lifted the box that transported carefully",+,+
21,False,Susan lifted the box that transported carefully,-,+
21,False,"these cakes, Susan lifted the box that transported a phone carefully",+,-
21,True,Susan lifted the box that transported a phone carefully,-,-
22,False,"these cakes, Susan lifted the box that transported without falling",+,+
22,False,Susan lifted the box that transported without falling,-,+
22,False,"these cakes, Susan lifted the box that transported a phone without falling",+,-
22,True,Susan lifted the box that transported a phone without falling,-,-
23,False,"these cakes, Susan lifted the box that transported quickly",+,+
23,False,Susan lifted the box that transported quickly,-,+
23,False,"these cakes, Susan lifted the box that transported a phone quickly",+,-
23,True,Susan lifted the box that transported a phone quickly,-,-
24,False,"these cakes, Susan lifted the box that transported carefully",+,+
24,False,Susan lifted the box that transported carefully,-,+
24,False,"these cakes, Susan lifted the box that transported the paperwork carefully",+,-
24,True,Susan lifted the box that transported the paperwork carefully,-,-
25,False,"these cakes, Susan lifted the box that transported without falling",+,+
25,False,Susan lifted the box that transported without falling,-,+
25,False,"these cakes, Susan lifted the box that transported the paperwork without falling",+,-
25,True,Susan lifted the box that transported the paperwork without falling,-,-
26,False,"these cakes, Susan lifted the box that transported quickly",+,+
26,False,Susan lifted the box that transported quickly,-,+
26,False,"these cakes, Susan lifted the box that transported the paperwork quickly",+,-
26,True,Susan lifted the box that transported the paperwork quickly,-,-
27,False,"these cakes, Susan lifted this truck that hauled carefully",+,+
27,False,Susan lifted this truck that hauled carefully,-,+
27,False,"these cakes, Susan lifted this truck that hauled your jacket carefully",+,-
27,True,Susan lifted this truck that hauled your jacket carefully,-,-
28,False,"these cakes, Susan lifted this truck that hauled without falling",+,+
28,False,Susan lifted this truck that hauled without falling,-,+
28,False,"these cakes, Susan lifted this truck that hauled your jacket without falling",+,-
28,True,Susan lifted this truck that hauled your jacket without falling,-,-
29,False,"these cakes, Susan lifted this truck that hauled quickly",+,+
29,False,Susan lifted this truck that hauled quickly,-,+
29,False,"these cakes, Susan lifted this truck that hauled your jacket quickly",+,-
29,True,Susan lifted this truck that hauled your jacket quickly,-,-
30,False,"these cakes, Susan lifted this truck that hauled carefully",+,+
30,False,Susan lifted this truck that hauled carefully,-,+
30,False,"these cakes, Susan lifted this truck that hauled a phone carefully",+,-
30,True,Susan lifted this truck that hauled a phone carefully,-,-
31,False,"these cakes, Susan lifted this truck that hauled without falling",+,+
31,False,Susan lifted this truck that hauled without falling,-,+
31,False,"these cakes, Susan lifted this truck that hauled a phone without falling",+,-
31,True,Susan lifted this truck that hauled a phone without falling,-,-
32,False,"these cakes, Susan lifted this truck that hauled quickly",+,+
32,False,Susan lifted this truck that hauled quickly,-,+
32,False,"these cakes, Susan lifted this truck that hauled a phone quickly",+,-
32,True,Susan lifted this truck that hauled a phone quickly,-,-
33,False,"these cakes, Susan lifted this truck that hauled carefully",+,+
33,False,Susan lifted this truck that hauled carefully,-,+
33,False,"these cakes, Susan lifted this truck that hauled the paperwork carefully",+,-
