group,grammatical,sentence,a condition,b condition
0,True,It is these pizzas that Susan lifted carefully,+cleft,+gap
0,False,It is obvious that Susan lifted carefully,-cleft,+gap
0,False,It is these pizzas that Susan lifted your jacket carefully,+cleft,-gap
0,True,It is obvious that Susan lifted your jacket carefully,-cleft,-gap
1,True,It is these pizzas that Susan lifted without falling,+cleft,+gap
1,False,It is obvious that Susan lifted without falling,-cleft,+gap
1,False,It is these pizzas that Susan lifted your jacket without falling,+cleft,-gap
1,True,It is obvious that Susan lifted your jacket without falling,-cleft,-gap
2,True,It is these pizzas that Susan lifted quickly,+cleft,+gap
2,False,It is obvious that Susan lifted quickly,-cleft,+gap
2,False,It is these pizzas that Susan lifted your jacket quickly,+cleft,-gap
2,True,It is obvious that Susan lifted your jacket quickly,-cleft,-gap
3,True,It is these pizzas that Susan lifted carefully,+cleft,+gap
3,False,It is obvious that Susan lifted carefully,-cleft,+gap
3,False,It is these pizzas that Susan lifted a phone carefully,+cleft,-gap
3,True,It is obvious that Susan lifted a phone carefully,-cleft,-gap
4,True,It is these pizzas that Susan lifted without falling,+cleft,+gap
4,False,It is obvious that Susan lifted without falling,-cleft,+gap
4,False,It is these pizzas that Susan lifted a phone without falling,+cleft,-gap
4,True,It is obvious that Susan lifted a phone without falling,-cleft,-gap
5,True,It is these pizzas that Susan lifted quickly,+cleft,+gap
5,False,It is obvious that Susan lifted quickly,-cleft,+gap
5,False,It is these pizzas that Susan lifted a phone quickly,+cleft,-gap
5,True,It is obvious that Susan lifted a phone quickly,-cleft,-gap
6,True,It is these pizzas that Susan lifted carefully,+cleft,+gap
6,False,It is obvious that Susan lifted carefully,-cleft,+gap
6,False,It is these pizzas that Susan lifted the paperwork carefully,+cleft,-gap
6,True,It is obvious that Susan lifted the paperwork carefully,-cleft,-gap
7,True,It is these pizzas that Susan lifted without falling,+cleft,+gap
7,False,It is obvious that Susan lifted without falling,-cleft,+gap
7,False,It is these pizzas that Susan lifted the paperwork without falling,+cleft,-gap
7,True,It is obvious that Susan lifted the paperwork without falling,-cleft,-gap
8,True,It is these pizzas that Susan lifted quickly,+cleft,+gap
8,False,It is obvious that Susan lifted quickly,-cleft,+gap
8,False,It is these pizzas that Susan lifted the paperwork quickly,+cleft,-gap
8,True,It is obvious that Susan lifted the paperwork quickly,-cleft,-gap
9,True,It is these pizzas that Susan stole carefully,+cleft,+gap
9,False,It is obvious that Susan stole carefully,-cleft,+gap
9,False,It is these pizzas that Susan stole your jacket carefully,+cleft,-gap
9,True,It is obvious that Susan stole your jacket carefully,-cleft,-gap
10,True,It is these pizzas that Susan stole without falling,+cleft,+gap
10,False,It is obvious that Susan stole without falling,-cleft,+gap
10,False,It is these pizzas that Susan stole your jacket without falling,+cleft,-gap
10,True,It is obvious that Susan stole your jacket without falling,-cleft,-gap
11,True,It is these pizzas that Susan stole quickly,+cleft,+gap
11,False,It is obvious that Susan stole quickly,-cleft,+gap
11,False,It is these pizzas that Susan stole your jacket quickly,+cleft,-gap
11,True,It is obvious that Susan stole your jacket quickly,-cleft,-gap
12,True,It is these pizzas that Susan stole carefully,+cleft,+gap
12,False,It is obvious that Susan stole carefully,-cleft,+gap
12,False,It is these pizzas that Susan stole a phone carefully,+cleft,-gap
12,True,It is obvious that Susan stole a phone carefully,-cleft,-gap
13,True,It is these pizzas that Susan stole without falling,+cleft,+gap
13,False,It is obvious that Susan stole without falling,-cleft,+gap
13,False,It is these pizzas that Susan stole a phone without falling,+cleft,-gap
13,True,It is obvious that Susan stole a phone without falling,-cleft,-gap
14,True,It is these pizzas that Susan stole quickly,+cleft,+gap
14,False,It is obvious that Susan stole quickly,-cleft,+gap
14,False,It is these pizzas that Susan stole a phone quickly,+cleft,-gap
14,True,It is obvious that Susan stole a phone quickly,-cleft,-gap
15,True,It is these pizzas that Susan stole carefully,+cleft,+gap
15,False,It is obvious that Susan stole carefully,-cleft,+gap
15,False,It is these pizzas that Susan stole the paperwork carefully,+cleft,-gap
15,True,It is obvious that Susan stole the paperwork carefully,-cleft,-gap
