Type,Sentence,Grammatical,Region Start,Region End,Critical String,Is Training
<S_FG>,I know what the attempt to repair eventually damaged nevertheless,True,53,65,nevertheless,
<S_FG>,I know what the attempt to fix eventually damaged nevertheless,True,50,62,nevertheless,
<S_FG>,I know what the attempt to overhaul eventually damaged nevertheless,True,55,67,nevertheless,
<S_FG>,I know what the attempt to rebuild eventually damaged nevertheless,True,54,66,nevertheless,
<S_FG>,I know what the attempt to repair finally damaged nevertheless,True,50,62,nevertheless,
<S_FG>,I know what the attempt to fix finally damaged nevertheless,True,47,59,nevertheless,
<S_FG>,I know what the attempt to overhaul finally damaged nevertheless,True,52,64,nevertheless,
<S_FG>,I know what the attempt to rebuild finally damaged nevertheless,True,51,63,nevertheless,
<S_FG>,I know what the attempt to repair eventually destroyed nevertheless,True,55,67,nevertheless,
<S_FG>,I know what the attempt to fix eventually destroyed nevertheless,True,52,64,nevertheless,
<S_FG>,I know what the attempt to overhaul eventually destroyed nevertheless,True,57,69,nevertheless,
<S_FG>,I know what the attempt to rebuild eventually destroyed nevertheless,True,56,68,nevertheless,
<S_FG>,I know what the attempt to repair finally destroyed nevertheless,True,52,64,nevertheless,
<S_FG>,I know what the attempt to fix finally destroyed nevertheless,True,49,61,nevertheless,
<S_FG>,I know what the attempt to overhaul finally destroyed nevertheless,True,54,66,nevertheless,
<S_FG>,I know what the attempt to rebuild finally destroyed nevertheless,True,53,65,nevertheless,
<S_FG>,I know what the attempt to repair eventually ruined nevertheless,True,52,64,nevertheless,
<S_FG>,I know what the attempt to fix eventually ruined nevertheless,True,49,61,nevertheless,
<S_FG>,I know what the attempt to overhaul eventually ruined nevertheless,True,54,66,nevertheless,
<S_FG>,I know what the attempt to rebuild eventually ruined nevertheless,True,53,65,nevertheless,
<S_FG>,I know what the attempt to repair finally ruined nevertheless,True,49,61,nevertheless,
<S_FG>,I know what the attempt to fix finally ruined nevertheless,True,46,58,nevertheless,
<S_FG>,I know what the attempt to overhaul finally ruined nevertheless,True,51,63,nevertheless,
<S_FG>,I know what the attempt to rebuild finally ruined nevertheless,True,50,62,nevertheless,
<S_FG>,I know what the attempt to repair eventually wrecked nevertheless,True,53,65,nevertheless,
<S_FG>,I know what the attempt to fix eventually wrecked nevertheless,True,50,62,nevertheless,
<S_FG>,I know what the attempt to overhaul eventually wrecked nevertheless,True,55,67,nevertheless,
<S_FG>,I know what the attempt to rebuild eventually wrecked nevertheless,True,54,66,nevertheless,
<S_FG>,I know what the attempt to repair finally wrecked nevertheless,True,50,62,nevertheless,
<S_FG>,I know what the attempt to fix finally wrecked nevertheless,True,47,59,nevertheless,
<S_FG>,I know what the attempt to overhaul finally wrecked nevertheless,True,52,64,nevertheless,
<S_FG>,I know what the attempt to rebuild finally wrecked nevertheless,True,51,63,nevertheless,
<S_FG>,I know what the attempt to repair eventually damaged nonetheless,True,53,64,nonetheless,
<S_FG>,I know what the attempt to fix eventually damaged nonetheless,True,50,61,nonetheless,
