group,grammatical,sentence,a condition,b condition
0,True,"these cakes, Susan lifted carefully",+,+
0,False,"indeed, Susan lifted carefully",-,+
0,False,"these cakes, Susan lifted your jacket carefully",+,-
0,True,"indeed, Susan lifted your jacket carefully",-,-
1,True,"these cakes, Susan lifted without falling",+,+
1,False,"indeed, Susan lifted without falling",-,+
1,False,"these cakes, Susan lifted your jacket without falling",+,-
1,True,"indeed, Susan lifted your jacket without falling",-,-
2,True,"these cakes, Susan lifted quickly",+,+
2,False,"indeed, Susan lifted quickly",-,+
2,False,"these cakes, Susan lifted your jacket quickly",+,-
2,True,"indeed, Susan lifted your jacket quickly",-,-
3,True,"these cakes, Susan lifted carefully",+,+
3,False,"indeed, Susan lifted carefully",-,+
3,False,"these cakes, Susan lifted a phone carefully",+,-
3,True,"indeed, Susan lifted a phone carefully",-,-
4,True,"these cakes, Susan lifted without falling",+,+
4,False,"indeed, Susan lifted without falling",-,+
4,False,"these cakes, Susan lifted a phone without falling",+,-
4,True,"indeed, Susan lifted a phone without falling",-,-
5,True,"these cakes, Susan lifted quickly",+,+
5,False,"indeed, Susan lifted quickly",-,+
5,False,"these cakes, Susan lifted a phone quickly",+,-
5,True,"indeed, Susan lifted a phone quickly",-,-
6,True,"these cakes, Susan lifted carefully",+,+
6,False,"indeed, Susan lifted carefully",-,+
6,False,"these cakes, Susan lifted the paperwork carefully",+,-
6,True,"indeed, Susan lifted the paperwork carefully",-,-
7,True,"these cakes, Susan lifted without falling",+,+
7,False,"indeed, Susan lifted without falling",-,+
7,False,"these cakes, Susan lifted the paperwork without falling",+,-
7,True,"indeed, Susan lifted the paperwork without falling",-,-
8,True,"these cakes, Susan lifted quickly",+,+
8,False,"indeed, Susan lifted quickly",-,+
8,False,"these cakes, Susan lifted the paperwork quickly",+,-
8,True,"indeed, Susan lifted the paperwork quickly",-,-
9,True,"these cakes, Susan stole carefully",+,+
9,False,"indeed, Susan stole carefully",-,+
9,False,"these cakes, Susan stole your jacket carefully",+,-
9,True,"indeed, Susan stole your jacket carefully",-,-
10,True,"these cakes, Susan stole without falling",+,+
10,False,"indeed, Susan stole without falling",-,+
10,False,"these cakes, Susan stole your jacket without falling",+,-
10,True,"indeed, Susan stole your jacket without falling",-,-
11,True,"these cakes, Susan stole quickly",+,+
11,False,"indeed, Susan stole quickly",-,+
11,False,"these cakes, Susan stole your jacket quickly",+,-
11,True,"indeed, Susan stole your jacket quickly",-,-
12,True,"these cakes, Susan stole carefully",+,+
12,False,"indeed, Susan stole carefully",-,+
12,False,"these cakes, Susan stole a phone carefully",+,-
12,True,"indeed, Susan stole a phone carefully",-,-
13,True,"these cakes, Susan stole without falling",+,+
13,False,"indeed, Susan stole without falling",-,+
13,False,"these cakes, Susan stole a phone without falling",+,-
13,True,"indeed, Susan stole a phone without falling",-,-
14,True,"these cakes, Susan stole quickly",+,+
14,False,"indeed, Susan stole quickly",-,+
14,False,"these cakes, Susan stole a phone quickly",+,-
14,True,"indeed, Susan stole a phone quickly",-,-
15,True,"these cakes, Susan stole carefully",+,+
15,False,"indeed, Susan stole carefully",-,+
15,False,"these cakes, Susan stole the paperwork carefully",+,-
15,True,"indeed, Susan stole the paperwork carefully",-,-
16,True,"these cakes, Susan stole without falling",+,+
16,False,"indeed, Susan stole without falling",-,+
16,False,"these cakes, Susan stole the paperwork without falling",+,-
16,True,"indeed, Susan stole the paperwork without falling",-,-
17,True,"these cakes, Susan stole quickly",+,+
17,False,"indeed, Susan stole quickly",-,+
17,False,"these cakes, Susan stole the paperwork quickly",+,-
17,True,"indeed, Susan stole the paperwork quickly",-,-
18,True,"these cakes, Susan threw carefully",+,+
18,False,"indeed, Susan threw carefully",-,+
18,False,"these cakes, Susan threw your jacket carefully",+,-
18,True,"indeed, Susan threw your jacket carefully",-,-
19,True,"these cakes, Susan threw without falling",+,+
19,False,"indeed, Susan threw without falling",-,+
19,False,"these cakes, Susan threw your jacket without falling",+,-
19,True,"indeed, Susan threw your jacket without falling",-,-
20,True,"these cakes, Susan threw quickly",+,+
20,False,"indeed, Susan threw quickly",-,+
20,False,"these cakes, Susan threw your jacket quickly",+,-
20,True,"indeed, Susan threw your jacket quickly",-,-
